Roll_No,Name,Result,Attendance,Assignment_Score,Project_Marks
1258,Lalit Verma,50.0,76.39,1,25
1259,Aditya Singh,47.0,82.01,19,15
1260,Raj Gupta,93.0,94.73,19,1
1261,Karan Gupta,84.0,76.06,2,19
1262,Rohit Yadav,78.0,54.38,19,3
1263,Anjali Yadav,63.0,74.7,16,15
1264,Aditya Yadav,97.0,56.07,9,28
1265,Rahul Singh,85.0,80.6,16,12
1266,Kunal Yadav,46.0,70.58,0,11
1267,Nobita Sharma,90.0,81.35,0,4
1268,Kunal Singh,95.0,72.14,12,0
1269,Krishna Singh,59.0,72.18,19,22
1270,Sartak Singh,75.0,91.72,0,30
1271,Rahul Yadav,83.0,77.03,1,8
1272,Simran Gupta,,84.8,5,13
1273,Harsh Gupta,99.0,72.64,20,29
1274,Kavita Patel,92.0,54.5,0,9
1275,Ritika Singh,71.0,79.39,17,22
1276,Harsh Sharma,64.0,83.4,13,22
1277,Shichan Sharma,95.0,91.89,10,24
1278,Sahil Verma,54.0,56.02,7,5
1279,Kunal Sharma,73.0,93.59,19,9
1280,Shichan Sharma,61.0,55.67,20,23
1281,Anjali Yadav,95.0,70.03,16,1
1282,Karan Yadav,98.0,59.57,10,0
1283,Ankit Verma,71.0,70.06,5,15
1284,Krishna Yadav,100.0,77.29,20,10
1285,Aman Patel,48.0,69.54,12,22
1286,Vivek Gupta,,60.69,14,18
1287,Meena Verma,96.0,94.73,1,15
1288,Krishna Yadav,,98.91,3,18
1289,Krishna Singh,93.0,77.06,16,23
1290,Krishna Yadav,65.0,93.21,7,11
1291,Sneha Verma,82.0,75.4,14,0
1292,Rahul Gupta,41.0,93.49,12,0
1293,Kavita Patel,56.0,62.01,4,28
1294,Anjali Gupta,87.0,65.63,11,10
1295,Akash Sharma,86.0,52.72,0,12
1296,Simran Verma,77.0,70.59,0,14
1297,Karan Sharma,61.0,50.04,16,10
1298,Akash Yadav,68.0,84.99,10,13
1299,Shichan Verma,63.0,56.95,17,15
1300,Aditya Gupta,44.0,86.46,16,2
1301,Aman Verma,65.0,76.38,2,23
1302,Priya Singh,99.0,66.55,7,18
1303,Harsh Yadav,,86.65,0,28
1304,Meena Yadav,88.0,53.89,6,14
1305,Meena Yadav,54.0,53.05,17,29
1306,Ankit Singh,59.0,94.32,16,19
1307,Rohit Sharma,98.0,52.81,17,24
1308,Simran Yadav,77.0,84.74,5,27
1309,Simran Yadav,53.0,56.81,11,11
1310,Sahil Singh,49.0,93.76,15,16
1311,Ankit Singh,,86.93,16,11
1312,Ritika Gupta,61.0,86.39,10,13
1313,Anjali Gupta,,54.54,4,28
1314,Kavita Sharma,41.0,65.82,19,13
1315,Ankit Singh,,84.31,13,12
1316,Sahil Patel,88.0,63.6,17,0
1317,Sneha Gupta,90.0,98.98,1,13
1318,Shichan Verma,86.0,96.15,7,23
1319,Prince Patel,46.0,71.41,18,23
1320,Shichan Gupta,48.0,66.81,1,27
1321,Lalit Yadav,89.0,73.22,18,8
1322,Meena Verma,100.0,64.52,11,21
1323,Raj Singh,75.0,83.64,9,22
1324,Sneha Singh,41.0,54.53,4,25
1325,Aditya Sharma,54.0,97.15,6,27
1326,Aditya Sharma,68.0,57.1,3,2
1327,Ritika Gupta,63.0,65.06,19,7
1328,Nobita Verma,54.0,72.8,11,13
1329,Krishna Yadav,48.0,64.03,19,18
1330,Kunal Sharma,50.0,72.36,10,27
1331,Aditya Yadav,72.0,53.71,10,15
1332,Akash Verma,90.0,80.9,10,17
1333,Sahil Singh,55.0,83.21,19,21
1334,Rohit Yadav,82.0,88.79,13,9
1335,Ankit Singh,,66.19,0,2
1336,Aditya Yadav,60.0,76.83,2,7
1337,Ritika Gupta,,61.35,17,2
1338,Vivek Singh,55.0,79.11,1,29
1339,Vivek Yadav,70.0,89.89,20,4
1340,Rohit Yadav,84.0,86.79,2,12
1341,Sahil Singh,65.0,64.77,18,3
1342,Aditya Patel,42.0,80.47,9,26
1343,Vivek Patel,52.0,62.54,12,29
1344,Meena Gupta,99.0,62.74,0,12
1345,Ritika Patel,85.0,85.7,14,20
1346,Harsh Yadav,77.0,86.11,2,28
1347,Nobita Gupta,89.0,84.93,16,13
1348,Kunal Patel,69.0,86.17,15,14
1349,Aman Singh,97.0,78.37,20,4
1350,Aman Gupta,58.0,59.1,8,24
1351,Akash Sharma,72.0,65.32,19,21
1352,Shichan Gupta,65.0,78.09,12,12
1353,Raj Sharma,68.0,70.9,4,0
1354,Akash Patel,77.0,59.53,1,8
1355,Shichan Yadav,73.0,96.52,20,15
1356,Shichan Verma,41.0,76.31,18,0
1357,Raj Gupta,77.0,66.27,18,20
1358,Anjali Yadav,90.0,71.43,7,26
1359,Kavita Yadav,88.0,97.14,8,13
1360,Kunal Verma,53.0,71.87,20,4
1361,Kavita Singh,80.0,67.58,5,18
1362,Nobita Singh,80.0,70.42,9,10
1363,Simran Gupta,58.0,87.8,4,6
1364,Ritika Singh,63.0,86.83,7,19
1365,Sartak Verma,68.0,63.01,13,1
1366,Vivek Sharma,41.0,57.51,20,14
1367,Meena Singh,85.0,62.83,13,21
1368,Aman Singh,80.0,61.4,8,16
1369,Meena Gupta,71.0,63.39,9,10
1370,Rohit Gupta,98.0,59.69,6,23
1371,Karan Verma,80.0,51.54,4,29
1372,Aditya Yadav,41.0,94.41,17,7
1373,Kunal Singh,91.0,57.37,18,2
1374,Kunal Sharma,58.0,94.85,4,22
1375,Prince Patel,58.0,64.85,8,19
1376,Shichan Patel,64.0,78.27,12,0
1377,Lalit Singh,91.0,87.19,0,7
1378,Aman Sharma,,66.29,5,2
1379,Shichan Yadav,74.0,70.25,17,18
1380,Harsh Patel,46.0,79.75,10,4
1381,Kunal Yadav,53.0,83.1,9,6
1382,Kavita Patel,66.0,86.15,11,16
1383,Priya Gupta,69.0,90.26,12,11
1384,Sartak Yadav,57.0,62.74,6,3
1385,Karan Gupta,61.0,89.92,3,1
1386,Kunal Sharma,52.0,96.33,6,5
1387,Kavita Patel,96.0,70.08,2,18
1388,Ritika Patel,70.0,86.98,9,1
1389,Aman Patel,72.0,78.09,16,28
1390,Lalit Singh,50.0,55.29,13,22
1391,Shichan Singh,44.0,52.39,14,27
1392,Anjali Gupta,59.0,62.87,8,2
1393,Prince Yadav,,83.47,3,19
1394,Simran Yadav,56.0,80.05,4,18
1395,Karan Gupta,57.0,74.32,0,2
1396,Prince Patel,100.0,82.82,13,21
1397,Aditya Singh,99.0,62.91,11,29
1398,Aditya Yadav,92.0,63.27,14,14
1399,Shichan Gupta,77.0,81.65,10,7
1400,Prince Yadav,50.0,71.88,13,4
1401,Ritika Gupta,99.0,50.74,20,23
1402,Sartak Verma,80.0,93.97,14,20
1403,Ankit Verma,68.0,79.78,0,15
1404,Kunal Singh,98.0,55.99,9,10
1405,Prince Sharma,85.0,64.92,7,29
1406,Sneha Verma,55.0,75.34,5,8
1407,Raj Gupta,61.0,81.34,17,9
1408,Shichan Patel,81.0,85.27,18,3
1409,Karan Singh,40.0,68.71,0,21
1410,Sartak Sharma,76.0,68.25,11,28
1411,Karan Singh,91.0,82.11,20,0
1412,Karan Sharma,94.0,92.51,18,26
1413,Harsh Patel,79.0,60.37,14,19
1414,Shichan Yadav,82.0,67.69,14,10
1415,Vivek Singh,,74.42,18,30
1416,Kunal Singh,83.0,57.72,6,4
1417,Harsh Verma,47.0,81.8,6,3
1418,Ritika Patel,63.0,89.58,0,7
1419,Priya Singh,60.0,79.93,0,29
1420,Ritika Yadav,44.0,80.87,9,19
1421,Kunal Singh,73.0,67.93,6,25
1422,Anjali Singh,51.0,63.49,16,23
1423,Prince Patel,64.0,80.17,14,10
1424,Nobita Singh,64.0,58.68,12,15
1425,Rohit Singh,78.0,77.05,6,21
1426,Anjali Sharma,100.0,65.99,5,4
1427,Meena Patel,,56.68,16,10
1428,Ankit Patel,51.0,99.47,18,5
1429,Ankit Patel,99.0,69.12,16,30
1430,Anjali Gupta,77.0,93.75,20,12
1431,Simran Gupta,83.0,90.74,13,21
1432,Kavita Gupta,96.0,84.33,0,9
1433,Prince Gupta,40.0,56.62,2,18
1434,Akash Gupta,94.0,99.75,13,18
1435,Priya Yadav,58.0,96.01,15,2
1436,Karan Gupta,54.0,75.89,9,6
1437,Priya Gupta,56.0,64.67,13,1
1438,Ritika Gupta,,98.3,6,29
1439,Kunal Verma,53.0,67.32,0,21
1440,Shichan Verma,59.0,91.12,6,0
1441,Krishna Singh,100.0,64.68,5,27
1442,Kunal Sharma,76.0,50.99,6,16
1443,Simran Verma,83.0,70.83,10,22
1444,Priya Yadav,82.0,79.88,1,16
1445,Raj Singh,42.0,89.49,13,12
1446,Raj Gupta,63.0,93.06,1,18
1447,Aditya Verma,93.0,93.19,6,16
1448,Rahul Verma,95.0,96.6,11,21
1449,Kavita Yadav,99.0,51.94,0,4
1450,Sneha Verma,90.0,92.27,11,0
1451,Ankit Gupta,63.0,80.92,2,19
1452,Sartak Sharma,,99.39,17,9
1453,Kunal Singh,48.0,93.8,2,6
1454,Krishna Patel,46.0,66.72,4,12
1455,Prince Singh,85.0,78.44,1,9
1456,Anjali Gupta,85.0,93.67,5,20
1457,Sneha Singh,60.0,56.42,9,4
1458,Anjali Verma,83.0,67.71,20,7
1459,Prince Verma,57.0,96.66,7,20
1460,Aditya Gupta,92.0,96.35,16,6
1461,Harsh Yadav,100.0,95.49,7,9
1462,Vivek Singh,58.0,56.32,11,13
1463,Kavita Sharma,42.0,57.87,0,19
1464,Lalit Yadav,79.0,56.89,11,3
1465,Nobita Singh,54.0,73.58,11,29
1466,Sahil Patel,72.0,83.05,10,7
1467,Ankit Yadav,42.0,51.88,13,14
1468,Sartak Sharma,56.0,92.36,18,19
1469,Vivek Verma,83.0,57.55,10,9
1470,Prince Yadav,90.0,96.66,5,19
1471,Rahul Gupta,82.0,66.15,0,15
1472,Aditya Sharma,72.0,87.73,14,1
1473,Aman Yadav,63.0,66.49,10,11
1474,Akash Yadav,62.0,51.73,3,29
1475,Ankit Yadav,84.0,93.87,7,18
1476,Kunal Gupta,63.0,60.35,10,28
1477,Prince Sharma,40.0,54.51,7,1
1478,Anjali Singh,45.0,53.59,6,22
1479,Kavita Verma,90.0,50.94,0,5
1480,Nobita Gupta,63.0,73.32,4,6
1481,Lalit Yadav,79.0,92.46,19,30
1482,Ritika Patel,66.0,75.87,8,19
1483,Priya Patel,96.0,58.3,4,23
1484,Sahil Singh,54.0,99.95,10,13
1485,Krishna Verma,51.0,97.02,1,28
1486,Krishna Sharma,79.0,81.04,7,29
1487,Vivek Gupta,59.0,66.54,14,24
1488,Ritika Sharma,,83.48,5,17
1489,Sartak Verma,82.0,64.66,14,21
1490,Rohit Verma,42.0,79.0,2,22
1491,Shichan Patel,54.0,74.35,15,10
1492,Vivek Yadav,60.0,52.96,11,28
1493,Meena Sharma,77.0,52.33,16,1
1494,Rahul Singh,100.0,54.03,15,24
1495,Sneha Gupta,90.0,80.16,7,3
1496,Krishna Gupta,65.0,92.34,4,5
1497,Vivek Verma,46.0,51.02,15,14
1498,Sneha Patel,79.0,90.83,15,23
1499,Nobita Gupta,70.0,68.89,1,19
1500,Krishna Singh,55.0,92.19,6,9
1501,Aman Singh,88.0,90.79,18,1
1502,Simran Verma,61.0,66.86,7,21
1503,Aman Yadav,43.0,60.6,1,23
1504,Lalit Sharma,,76.81,18,7
1505,Krishna Verma,56.0,86.2,6,27
1506,Simran Sharma,91.0,93.75,8,9
1507,Priya Patel,91.0,90.19,7,9
1508,Vivek Singh,80.0,85.44,17,26
1509,Prince Patel,66.0,95.74,6,23
1510,Prince Sharma,76.0,59.02,2,1
1511,Karan Sharma,62.0,85.7,11,0
1512,Raj Gupta,89.0,63.34,12,22
1513,Meena Sharma,61.0,76.3,19,9
1514,Anjali Yadav,66.0,78.61,14,9
1515,Kunal Singh,75.0,78.8,20,22
1516,Vivek Singh,70.0,75.26,0,11
1517,Nobita Gupta,71.0,85.26,0,30
1518,Meena Verma,69.0,89.5,16,14
1519,Prince Sharma,53.0,63.06,12,16
1520,Sneha Yadav,59.0,56.82,7,19
1521,Meena Singh,80.0,54.44,20,12
1522,Meena Verma,53.0,75.65,8,11
1523,Aman Sharma,45.0,87.26,1,7
1524,Aman Sharma,59.0,89.12,17,15
1525,Shichan Patel,55.0,81.48,5,24
1526,Prince Singh,61.0,80.52,13,12
1527,Ritika Gupta,72.0,88.71,7,2
1528,Kunal Yadav,58.0,67.36,15,28
1529,Rahul Singh,75.0,58.84,3,27
1530,Rohit Verma,54.0,70.1,7,29
1531,Lalit Sharma,96.0,98.29,14,26
1532,Karan Gupta,90.0,92.01,11,18
1533,Nobita Gupta,52.0,64.67,17,22
1534,Aman Sharma,49.0,53.16,12,10
1535,Kavita Sharma,42.0,59.46,18,22
1536,Karan Verma,42.0,82.47,11,16
1537,Kunal Singh,78.0,96.92,2,1
1538,Ankit Gupta,79.0,69.04,11,10
1539,Raj Sharma,50.0,73.58,0,11
1540,Rohit Singh,43.0,66.49,6,28
1541,Ritika Gupta,63.0,59.19,3,23
1542,Meena Yadav,80.0,93.92,6,29
1543,Raj Singh,89.0,94.21,14,5
1544,Lalit Verma,67.0,64.19,0,10
1545,Sneha Patel,80.0,58.88,20,4
1546,Priya Patel,99.0,93.16,16,8
1547,Akash Singh,54.0,85.96,0,27
1548,Raj Verma,81.0,77.72,17,27
1549,Aditya Singh,95.0,58.76,15,18
1550,Kunal Yadav,62.0,89.11,11,24
1551,Lalit Verma,66.0,81.13,2,17
1552,Sahil Sharma,85.0,78.52,13,26
1553,Karan Verma,63.0,80.91,7,17
1554,Nobita Gupta,63.0,77.4,20,8
1555,Sneha Patel,93.0,93.34,9,22
1556,Vivek Sharma,45.0,88.81,17,15
1557,Sneha Singh,,80.36,19,28
1558,Kunal Gupta,41.0,91.31,20,12
1559,Nobita Sharma,52.0,88.96,5,30
1560,Nobita Patel,71.0,95.39,3,10
1561,Lalit Patel,41.0,95.45,16,20
1562,Rahul Verma,96.0,78.18,14,17
1563,Nobita Singh,95.0,80.24,18,2
1564,Ritika Gupta,93.0,58.97,17,20
1565,Karan Yadav,81.0,65.64,1,7
1566,Sartak Sharma,90.0,93.15,13,19
1567,Rohit Yadav,87.0,89.56,6,1
1568,Sahil Verma,44.0,78.7,6,20
1569,Aman Gupta,72.0,51.2,8,9
1570,Kunal Patel,77.0,89.34,17,17
1571,Harsh Patel,40.0,55.5,13,28
1572,Priya Sharma,44.0,77.94,19,12
1573,Rahul Yadav,93.0,89.23,15,11
1574,Karan Yadav,54.0,62.78,7,7
1575,Prince Sharma,68.0,73.55,11,1
1576,Sahil Yadav,46.0,52.09,8,6
1577,Vivek Patel,40.0,62.04,0,2
1578,Rohit Gupta,54.0,90.57,11,17
1579,Simran Singh,79.0,76.63,12,5
1580,Rahul Patel,100.0,53.42,6,14
1581,Rahul Verma,96.0,89.41,6,0
1582,Kavita Yadav,68.0,99.43,17,24
1583,Kavita Gupta,83.0,89.6,17,1
1584,Aditya Singh,94.0,96.97,20,24
1585,Karan Singh,,66.42,7,23
1586,Vivek Sharma,88.0,89.63,11,21
1587,Sneha Yadav,54.0,51.76,5,22
1588,Vivek Yadav,85.0,85.13,15,2
1589,Aman Yadav,64.0,82.1,15,13
1590,Meena Patel,81.0,63.58,7,27
1591,Shichan Sharma,87.0,90.41,9,1
1592,Krishna Sharma,43.0,56.83,1,24
1593,Karan Patel,88.0,80.28,16,24
1594,Karan Gupta,75.0,68.12,13,2
1595,Ankit Sharma,42.0,76.54,3,13
1596,Akash Patel,68.0,87.45,13,3
1597,Lalit Patel,95.0,78.38,1,7
1598,Akash Gupta,77.0,64.92,17,2
1599,Sartak Singh,68.0,56.52,15,12
1600,Harsh Yadav,52.0,87.13,20,25
1601,Prince Singh,57.0,56.25,13,27
1602,Sahil Singh,78.0,53.53,15,5
1603,Aditya Patel,81.0,92.14,3,9
1604,Rohit Verma,73.0,50.09,7,26
1605,Prince Yadav,86.0,92.81,9,10
1606,Rahul Yadav,66.0,83.94,8,6
1607,Raj Singh,82.0,65.11,8,24
1608,Lalit Gupta,83.0,70.31,15,0
1609,Raj Yadav,99.0,60.88,16,16
1610,Ankit Patel,61.0,83.3,1,20
1611,Rahul Gupta,51.0,99.26,19,22
1612,Kavita Gupta,82.0,75.19,15,18
1613,Prince Sharma,82.0,73.3,20,21
1614,Krishna Singh,50.0,73.33,12,28
1615,Prince Verma,93.0,83.7,3,30
1616,Raj Gupta,54.0,73.76,19,18
1617,Raj Singh,46.0,84.62,15,9
1618,Raj Yadav,71.0,50.84,18,26
1619,Priya Verma,48.0,97.2,13,18
1620,Aman Singh,95.0,99.93,13,27
1621,Sartak Sharma,85.0,85.81,11,15
1622,Karan Patel,59.0,91.67,0,22
1623,Kavita Sharma,51.0,86.2,7,3
1624,Kavita Gupta,67.0,91.55,18,17
1625,Simran Verma,56.0,57.49,1,0
1626,Harsh Singh,78.0,64.0,3,14
1627,Vivek Patel,100.0,69.43,2,20
1628,Shichan Patel,44.0,58.28,19,20
1629,Ritika Singh,64.0,62.85,5,11
1630,Sartak Yadav,85.0,70.8,15,12
1631,Meena Patel,59.0,64.24,3,25
1632,Sartak Patel,64.0,92.85,5,17
1633,Rohit Verma,71.0,72.0,1,4
1634,Harsh Patel,88.0,63.8,16,12
1635,Sneha Sharma,85.0,80.48,8,19
1636,Kunal Yadav,70.0,90.88,15,14
1637,Simran Gupta,53.0,88.37,3,3
1638,Rahul Singh,79.0,99.26,6,3
1639,Priya Yadav,62.0,66.77,2,27
1640,Raj Yadav,47.0,86.72,20,22
1641,Ritika Gupta,92.0,59.05,14,19
1642,Kunal Patel,61.0,89.5,8,21
1643,Sneha Sharma,70.0,63.5,18,2
1644,Ankit Singh,76.0,56.95,1,9
1645,Kunal Patel,78.0,53.18,6,23
1646,Lalit Yadav,91.0,66.17,18,10
1647,Sartak Gupta,45.0,53.51,2,28
1648,Sneha Verma,51.0,67.15,10,7
1649,Harsh Patel,100.0,62.44,4,10
1650,Anjali Verma,56.0,78.66,11,10
1651,Shichan Gupta,86.0,72.01,14,27
1652,Akash Patel,51.0,89.03,6,30
1653,Vivek Yadav,53.0,75.44,8,1
1654,Sneha Sharma,85.0,69.66,14,29
1655,Ankit Yadav,55.0,80.69,16,7
1656,Aman Yadav,,55.59,9,18
1657,Raj Patel,96.0,64.75,9,13
1658,Sneha Yadav,58.0,75.39,20,15
1659,Kavita Gupta,92.0,56.77,14,28
1660,Priya Singh,54.0,81.79,15,18
1661,Shichan Patel,,57.79,7,28
1662,Karan Patel,61.0,55.86,4,10
1663,Nobita Sharma,64.0,97.47,5,1
1664,Shichan Sharma,44.0,70.19,12,16
1665,Anjali Patel,43.0,64.69,11,26
1666,Simran Verma,61.0,71.29,1,28
1667,Anjali Singh,40.0,77.36,12,30
1668,Lalit Singh,,53.38,11,0
1669,Lalit Sharma,72.0,51.13,4,19
1670,Shichan Patel,96.0,66.55,14,15
1671,Ankit Gupta,79.0,91.06,0,7
1672,Harsh Sharma,66.0,91.03,12,20
1673,Harsh Yadav,59.0,71.96,3,19
1674,Shichan Singh,70.0,96.95,7,29
1675,Simran Gupta,95.0,78.82,9,19
1676,Rahul Yadav,97.0,98.24,17,20
1677,Sneha Sharma,80.0,84.9,5,29
1678,Sneha Singh,74.0,76.81,16,20
1679,Aditya Verma,91.0,57.33,12,12
1680,Harsh Sharma,64.0,89.31,2,10
1681,Kavita Yadav,54.0,61.5,20,26
1682,Krishna Verma,44.0,91.42,6,3
1683,Nobita Verma,76.0,98.12,4,3
1684,Krishna Gupta,78.0,95.09,12,22
1685,Rohit Patel,51.0,80.15,7,9
1686,Shichan Patel,68.0,93.79,1,5
1687,Harsh Yadav,86.0,97.9,11,26
1688,Karan Yadav,56.0,56.71,9,1
1689,Prince Sharma,87.0,79.06,14,15
1690,Rahul Verma,71.0,89.36,6,28
1691,Sneha Singh,87.0,65.11,0,11
1692,Rahul Sharma,42.0,96.78,20,6
1693,Rahul Patel,41.0,83.62,11,27
1694,Krishna Verma,83.0,73.07,11,4
1695,Vivek Patel,64.0,68.08,18,24
1696,Ritika Sharma,71.0,57.23,0,26
1697,Rohit Gupta,,92.07,10,24
1698,Priya Gupta,93.0,76.98,1,6
1699,Shichan Gupta,68.0,50.45,11,15
1700,Meena Gupta,46.0,58.18,19,9
1701,Aditya Singh,58.0,71.67,17,26
1702,Kavita Patel,93.0,76.58,5,9
1703,Akash Singh,69.0,83.26,6,25
1704,Ankit Sharma,52.0,83.85,13,13
1705,Meena Yadav,95.0,72.86,4,25
1706,Anjali Patel,45.0,63.49,20,14
1707,Sneha Gupta,96.0,70.27,16,15
1708,Prince Gupta,89.0,89.41,8,11
1709,Shichan Yadav,54.0,89.18,13,27
1710,Krishna Sharma,90.0,87.16,2,8
1711,Aditya Gupta,73.0,77.14,11,23
1712,Krishna Singh,95.0,51.88,6,29
1713,Nobita Verma,81.0,90.05,14,2
1714,Anjali Yadav,91.0,95.34,7,5
1715,Lalit Verma,82.0,59.31,10,16
1716,Sartak Gupta,40.0,68.71,8,8
1717,Priya Verma,74.0,54.75,9,17
1718,Anjali Patel,86.0,76.95,19,29
1719,Krishna Singh,50.0,52.83,3,12
1720,Rahul Gupta,40.0,99.72,1,4
1721,Aman Singh,51.0,75.72,5,10
1722,Raj Singh,77.0,59.01,18,2
1723,Meena Singh,91.0,91.44,1,9
1724,Priya Gupta,60.0,99.89,7,5
1725,Krishna Yadav,87.0,71.84,7,26
1726,Priya Gupta,100.0,89.51,6,1
1727,Vivek Verma,73.0,55.36,20,21
1728,Shichan Sharma,48.0,53.19,2,17
1729,Rohit Yadav,84.0,50.78,6,14
1730,Sartak Sharma,,93.91,19,8
1731,Rahul Sharma,,70.28,10,27
1732,Simran Gupta,75.0,95.06,3,6
1733,Priya Singh,61.0,60.11,16,11
1734,Ankit Patel,90.0,76.65,6,26
1735,Sneha Sharma,84.0,81.51,0,21
1736,Kunal Patel,50.0,53.16,11,25
1737,Vivek Verma,48.0,87.11,11,12
1738,Raj Verma,100.0,96.83,1,9
1739,Aman Verma,71.0,71.13,12,2
1740,Sahil Yadav,56.0,66.83,8,7
1741,Sneha Sharma,,86.99,16,7
1742,Meena Patel,54.0,55.54,5,18
1743,Lalit Singh,76.0,93.38,13,27
1744,Rahul Patel,92.0,94.56,8,30
1745,Rahul Patel,82.0,51.02,10,16
1746,Karan Verma,52.0,75.94,8,27
1747,Anjali Patel,47.0,61.07,10,11
1748,Harsh Sharma,47.0,61.19,6,17
1749,Simran Singh,68.0,91.84,1,20
1750,Akash Sharma,46.0,52.76,8,22
1751,Aman Singh,56.0,89.15,1,3
1752,Nobita Patel,43.0,90.93,5,14
1753,Prince Gupta,,98.88,5,17
1754,Nobita Yadav,,53.9,9,14
1755,Kunal Yadav,78.0,54.65,5,18
1756,Meena Patel,64.0,72.7,6,15
1757,Kavita Singh,71.0,78.55,4,10
1758,Ankit Yadav,72.0,64.48,13,21
1759,Sartak Verma,89.0,62.82,13,18
1760,Aman Yadav,82.0,72.44,19,21
1761,Priya Singh,,80.75,14,19
1762,Lalit Sharma,98.0,86.6,18,29
1763,Ankit Singh,69.0,53.25,16,21
1764,Vivek Verma,69.0,78.76,14,2
1765,Harsh Patel,45.0,67.72,14,20
1766,Kunal Yadav,46.0,83.26,0,9
1767,Prince Singh,66.0,80.97,19,5
1768,Prince Patel,40.0,77.81,14,14
1769,Rahul Sharma,88.0,62.76,4,5
1770,Rohit Verma,100.0,60.86,12,9
1771,Meena Verma,71.0,94.68,16,10
1772,Krishna Sharma,61.0,96.55,13,26
1773,Prince Verma,59.0,93.61,17,24
1774,Priya Yadav,52.0,96.79,15,7
1775,Lalit Singh,52.0,85.12,14,19
1776,Sahil Patel,69.0,68.33,17,26
1777,Harsh Sharma,48.0,61.83,4,13
1778,Meena Patel,98.0,77.11,11,21
1779,Simran Verma,43.0,80.62,4,18
1780,Sneha Gupta,64.0,84.31,2,1
1781,Anjali Verma,69.0,93.33,19,10
1782,Sartak Sharma,74.0,73.56,18,13
1783,Vivek Sharma,95.0,61.18,18,30
1784,Nobita Patel,63.0,79.78,11,0
1785,Simran Yadav,100.0,56.62,19,11
1786,Nobita Singh,55.0,61.87,3,22
1787,Anjali Verma,87.0,74.99,12,0
1788,Kavita Sharma,69.0,95.03,14,7
1789,Rohit Patel,54.0,70.69,8,25
1790,Kavita Singh,95.0,56.15,11,7
1791,Vivek Verma,68.0,87.88,4,8
1792,Meena Singh,86.0,66.72,16,13
1793,Prince Patel,55.0,81.49,16,16
1794,Sahil Gupta,52.0,91.47,11,14
1795,Lalit Patel,95.0,65.15,3,11
1796,Shichan Sharma,94.0,75.6,8,11
1797,Aman Patel,43.0,88.3,17,25
1798,Meena Sharma,87.0,85.03,15,9
1799,Rohit Verma,68.0,98.02,5,17
1800,Meena Patel,92.0,52.7,4,28
1801,Meena Patel,95.0,81.4,7,10
1802,Anjali Patel,45.0,63.54,4,26
1803,Anjali Verma,62.0,58.09,5,3
1804,Prince Gupta,,70.67,11,2
1805,Simran Singh,41.0,56.01,19,29
1806,Akash Verma,44.0,85.77,17,6
1807,Krishna Gupta,66.0,75.69,3,30
1808,Lalit Sharma,51.0,62.04,9,9
1809,Shichan Patel,65.0,79.7,7,5
1810,Sahil Verma,80.0,94.33,17,25
1811,Ritika Gupta,78.0,63.86,8,27
1812,Vivek Verma,63.0,52.55,9,12
1813,Rohit Singh,67.0,83.88,0,22
1814,Prince Sharma,62.0,52.24,2,19
1815,Krishna Patel,74.0,89.65,9,25
1816,Sahil Sharma,60.0,59.7,18,8
1817,Raj Singh,47.0,50.67,2,27
1818,Sartak Singh,92.0,68.82,3,7
1819,Vivek Singh,54.0,93.13,14,26
1820,Vivek Singh,51.0,76.59,1,15
1821,Prince Singh,84.0,84.61,17,18
1822,Anjali Verma,96.0,54.24,13,29
1823,Simran Singh,91.0,97.13,10,27
1824,Akash Sharma,52.0,68.62,13,2
1825,Karan Verma,81.0,77.35,17,13
1826,Ankit Sharma,84.0,78.06,1,23
1827,Anjali Gupta,70.0,67.75,14,10
1828,Rohit Gupta,61.0,78.53,9,20
1829,Kunal Yadav,,79.06,8,3
1830,Priya Sharma,96.0,85.44,9,24
1831,Kunal Patel,94.0,98.33,8,8
1832,Raj Yadav,44.0,68.43,15,1
1833,Rahul Verma,58.0,56.02,12,5
1834,Harsh Gupta,98.0,65.37,0,29
1835,Nobita Singh,72.0,74.56,8,20
1836,Krishna Singh,79.0,72.16,12,13
1837,Ritika Patel,61.0,93.21,12,10
1838,Simran Sharma,51.0,74.96,5,6
1839,Priya Sharma,91.0,64.98,5,25
1840,Vivek Singh,55.0,65.45,8,22
1841,Raj Gupta,90.0,76.3,11,11
1842,Nobita Singh,83.0,75.54,3,5
1843,Nobita Verma,44.0,88.23,15,12
1844,Harsh Patel,42.0,50.65,3,17
1845,Nobita Verma,81.0,76.04,19,11
1846,Aditya Singh,57.0,97.06,5,7
1847,Harsh Sharma,40.0,81.3,12,13
1848,Sneha Verma,,84.35,1,19
1849,Rohit Yadav,,90.95,9,24
1850,Ankit Singh,79.0,97.77,17,8
1851,Ankit Patel,62.0,54.9,7,26
1852,Sneha Sharma,58.0,64.69,4,26
1853,Ritika Singh,91.0,52.58,6,18
1854,Anjali Yadav,84.0,95.67,6,11
1855,Sartak Singh,98.0,59.25,13,24
1856,Krishna Patel,81.0,55.08,9,24
1857,Krishna Singh,83.0,83.09,6,22
1858,Rohit Verma,65.0,79.95,9,21
1859,Lalit Patel,95.0,61.65,12,14
1860,Sahil Verma,94.0,79.96,10,26
1861,Priya Sharma,61.0,76.74,18,7
1862,Harsh Patel,42.0,98.91,6,25
1863,Krishna Gupta,93.0,68.81,10,14
